url,host,wild_mode,title,author,description,image,ingredients,instructions,instructions_list,cook_time,prep_time,total_time,servings,nutrients,ratings,category,cuisine,language,site_name
https://smittenkitchen.com/./recipes/vegetable/potatoes/,smittenkitchen.com,True,Potatoes – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2017/09/pizza-beans/,smittenkitchen.com,True,pizza beans – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2025/02/ziti-chickpeas-with-sausage-and-kale/,smittenkitchen.com,True,ziti chickpeas with sausage and kale – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/./recipes/course/dinner/,smittenkitchen.com,True,Dinner – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2022/03/castle-breakfast/,smittenkitchen.com,True,castle breakfast – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2016/02/miso-black-sesame-caramel-corn/,smittenkitchen.com,True,miso black sesame caramel corn – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2010/08/perfect-blueberry-muffins/,smittenkitchen.com,True,perfect blueberry muffins – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2017/09/marbled-banana-bread/,smittenkitchen.com,True,marbled banana bread – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2014/02/chocolate-hazelnut-linzer-hearts/,smittenkitchen.com,True,chocolate hazelnut linzer hearts – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2010/02/chana-masala/,smittenkitchen.com,True,chana masala – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2024/04/new-york-crumb-cake/,smittenkitchen.com,True,new york crumb cake – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2024/12/invisible-apple-cake/,smittenkitchen.com,True,invisible apple cake – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2017/02/small-batch-tiramisu/,smittenkitchen.com,True,small batch tiramisu – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2008/02/seven-yolk-pasta-dough/,smittenkitchen.com,True,seven-yolk pasta dough – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2021/04/sheet-pan-chow-mein/,smittenkitchen.com,True,sheet pan chow mein – smitten kitchen,,,,,,,,,,,,,,,,
